Conc1	1E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	0.0160451028345501	
Error Kobs	0.000303409825786495	
Koff	0.0239410401360881	
Error Koff	0.000717833264524889	
Time1	Data1	Fit1	
514.82	0.01463492	0.01415899	
515.02	0.01513237	0.01425796	
515.22	0.01555386	0.01435661	
515.42	0.015002	0.01445495	
515.62	0.01521849	0.01455298	
515.82	0.01592735	0.01465069	
516.02	0.01698919	0.01474808	
516.22	0.01752614	0.01484517	
516.42	0.01763308	0.01494194	
516.62	0.01786128	0.0150384	
516.82	0.01794178	0.01513456	
517.02	0.01834044	0.01523041	
517.22	0.0181064	0.01532594	
517.42	0.01765	0.01542118	
517.62	0.01713494	0.01551611	
517.82	0.01750045	0.01561073	
518.02	0.01730675	0.01570505	
518.22	0.01798222	0.01579907	
518.42	0.01841029	0.01589279	
518.62	0.01822243	0.0159862	
518.82	0.01755757	0.01607932	
519.02	0.01762665	0.01617214	
519.22	0.01774796	0.01626466	
519.42	0.01807871	0.01635689	
519.62	0.01791313	0.01644882	
519.82	0.01917983	0.01654046	
520.02	0.01964023	0.0166318	
520.22	0.01975918	0.01672285	
520.42	0.01934493	0.01681361	
520.62	0.02032447	0.01690407	
520.82	0.02009176	0.01699425	
521.02	0.02053261	0.01708414	
521.22	0.02068273	0.01717374	
521.42	0.02058585	0.01726305	
521.62	0.02086711	0.01735208	
521.82	0.02158234	0.01744082	
522.02	0.02110432	0.01752928	
522.22	0.02058141	0.01761745	
522.42	0.02049551	0.01770534	
522.62	0.02039015	0.01779295	
522.82	0.02006017	0.01788028	
523.02	0.01964139	0.01796733	
523.22	0.01985829	0.0180541	
523.42	0.01986557	0.0181406	
523.62	0.01949674	0.01822681	
523.82	0.01936816	0.01831275	
524.02	0.01844118	0.01839841	
524.22	0.01835022	0.0184838	
524.42	0.0180425	0.01856892	
524.62	0.01802468	0.01865376	
524.82	0.0175684	0.01873834	
525.02	0.01769814	0.01882264	
525.22	0.01706631	0.01890667	
525.42	0.01630065	0.01899043	
525.62	0.01618885	0.01907392	
525.82	0.01533911	0.01915714	
526.02	0.01472727	0.0192401	
526.22	0.01520577	0.0193228	
526.42	0.01547516	0.01940522	
526.62	0.01557237	0.01948739	
526.82	0.01585292	0.01956929	
527.02	0.01608246	0.01965093	
527.22	0.01628404	0.0197323	
527.42	0.01753597	0.01981342	
527.62	0.01839394	0.01989428	
527.82	0.0188234	0.01997487	
528.02	0.01978406	0.02005521	
528.22	0.02058297	0.02013529	
528.42	0.02103361	0.02021512	
528.62	0.02133304	0.02029469	
528.82	0.02133893	0.020374	
529.02	0.02149159	0.02045306	
529.22	0.02141711	0.02053187	
529.42	0.02136455	0.02061042	
529.62	0.02095788	0.02068872	
529.82	0.02127908	0.02076678	
530.02	0.02206423	0.02084458	
530.22	0.02257073	0.02092213	
530.42	0.02190833	0.02099943	
530.62	0.02213543	0.02107649	
530.82	0.02252659	0.0211533	
531.02	0.02216528	0.02122986	
531.22	0.02287593	0.02130618	
531.42	0.0241531	0.02138225	
531.62	0.02477529	0.02145808	
531.82	0.02475809	0.02153367	
532.02	0.02491706	0.02160901	
532.22	0.02491185	0.02168412	
532.42	0.0253288	0.02175898	
532.62	0.02530235	0.0218336	
532.82	0.02442368	0.02190799	
533.02	0.02507366	0.02198213	
533.22	0.02506128	0.02205604	
533.42	0.02457197	0.02212971	
533.62	0.02439587	0.02220314	
533.82	0.0248679	0.02227634	
534.02	0.02518053	0.02234931	
534.22	0.02534161	0.02242204	
534.42	0.02454176	0.02249454	
534.62	0.02428162	0.0225668	
534.82	0.02462451	0.02263884	
535.02	0.0247358	0.02271064	
535.22	0.02502798	0.02278222	
535.42	0.02492353	0.02285356	
535.62	0.02513898	0.02292468	
535.82	0.02486681	0.02299556	
536.02	0.02492491	0.02306623	
536.22	0.02528939	0.02313666	
536.42	0.02527046	0.02320687	
536.62	0.02465114	0.02327685	
536.82	0.02458372	0.02334661	
537.02	0.02570493	0.02341615	
537.22	0.02513787	0.02348546	
537.42	0.02502227	0.02355455	
537.62	0.02529622	0.02362342	
537.82	0.02490137	0.02369207	
538.02	0.02563675	0.0237605	
538.22	0.02560676	0.02382871	
