Conc1	1.111E-07	
Start1	480.02	
Stop1	5779.82	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
536.82	0.00744792		
537.02	0.00779219		
537.22	0.00814194		
537.42	0.00749925		
537.62	0.00726739		
537.82	0.00702006		
538.02	0.00681122		
538.22	0.00579056		
538.42	0.00611567		
538.62	0.00646285		
538.82	0.00675859		
539.02	0.00633369		
539.22	0.00676821		
539.42	0.0070449		
539.62	0.00760123		
539.82	0.00762559		
540.02	0.00769484		
540.22	0.00806452		
540.42	0.008234		
540.62	0.00794582		
540.82	0.00841267		
541.02	0.00871759		
541.22	0.00797066		
541.42	0.00701499		
541.62	0.00732778		
541.82	0.00660246		
542.02	0.00631327		
542.22	0.00696816		
542.42	0.00742449		
542.62	0.00766737		
542.82	0.00778869		
543.02	0.00722616		
543.22	0.00719217		
543.42	0.00766385		
543.62	0.0079523		
543.82	0.00771557		
544.02	0.00838843		
544.22	0.00808438		
544.42	0.00794809		
544.62	0.00851198		
544.82	0.00830294		
545.02	0.00775512		
545.22	0.00715923		
545.42	0.00626482		
545.62	0.00657065		
545.82	0.00671243		
546.02	0.0074279		
546.22	0.00731749		
546.42	0.00685078		
546.62	0.00715696		
546.82	0.00730796		
547.02	0.00695276		
547.22	0.00770451		
547.42	0.00745653		
547.62	0.0071222		
547.82	0.00697222		
548.02	0.00715874		
548.22	0.0068042		
548.42	0.00722875		
548.62	0.00709299		
548.82	0.00642763		
549.02	0.00644666		
549.22	0.0062338		
549.42	0.00531646		
549.62	0.00685469		
549.82	0.00704626		
550.02	0.00749717		
550.22	0.00713566		
550.42	0.00698283		
550.62	0.00697034		
550.82	0.00745797		
551.02	0.00730943		
551.22	0.00728038		
551.42	0.00678242		
551.62	0.00762154		
551.82	0.00742262		
552.02	0.00761507		
552.22	0.00784615		
552.42	0.00716375		
552.62	0.00771338		
552.82	0.00808054		
553.02	0.00749576		
553.22	0.00741811		
553.42	0.00735288		
553.62	0.00813356		
553.82	0.00695624		
554.02	0.00731881		
554.22	0.00673866		
554.42	0.00679514		
554.62	0.00675565		
554.82	0.00744968		
555.02	0.00769018		
555.22	0.007994		
555.42	0.00818679		
555.62	0.00817526		
555.82	0.00739359		
556.02	0.00728349		
556.22	0.00659151		
556.42	0.00633992		
556.62	0.00708506		
556.82	0.00639402		
557.02	0.00567859		
557.22	0.00644128		
557.42	0.0058141		
557.62	0.00567481		
557.82	0.00598993		
558.02	0.00668027		
558.22	0.00708448		
558.42	0.00719742		
558.62	0.00699033		
558.82	0.00790981		
559.02	0.00810474		
559.22	0.00789319		
559.42	0.00766656		
559.62	0.00776467		
559.82	0.00777356		
560.02	0.00735843		
560.22	0.00758379		
560.42	0.00769222		
560.62	0.00707752		
560.82	0.00702792		
561.02	0.00723652		
561.22	0.00785003		
561.42	0.00777991		
561.62	0.00817304		
561.82	0.00830544		
562.02	0.0083808		
562.22	0.0086336		
562.42	0.00768494		
562.62	0.00704707		
562.82	0.00708554		
563.02	0.00633937		
563.22	0.00572191		
563.42	0.0060113		
563.62	0.00609587		
563.82	0.00585842		
564.02	0.006063		
564.22	0.00618809		
564.42	0.00608611		
564.62	0.00656154		
564.82	0.00753969		
565.02	0.00802364		
565.22	0.00867173		
565.42	0.0086432		
565.62	0.00921806		
565.82	0.00929172		
566.02	0.00974499		
566.22	0.00936258		
566.42	0.00876085		
566.62	0.00862032		
566.82	0.00804405		
567.02	0.0077049		
567.22	0.0071048		
567.42	0.00729739		
567.62	0.00704075		
567.82	0.00683001		
568.02	0.00710136		
568.22	0.00699965		
568.42	0.00743952		
568.62	0.00703022		
568.82	0.00722447		
569.02	0.00700279		
569.22	0.00749744		
569.42	0.00764364		
569.62	0.00840082		
569.82	0.00796454		
570.02	0.00834223		
570.22	0.00834332		
570.42	0.0083258		
570.62	0.00745259		
570.82	0.00755062		
571.02	0.00707904		
571.22	0.00671982		
571.42	0.00686423		
571.62	0.00725212		
571.82	0.00733532		
572.02	0.00820616		
572.22	0.00814186		
572.42	0.00768025		
572.62	0.00787242		
572.82	0.00802549		
573.02	0.00754757		
573.22	0.00829137		
573.42	0.00774746		
573.62	0.00731783		
573.82	0.00716224		
574.02	0.00754717		
574.22	0.00649839		
574.42	0.00617127		
574.62	0.0061		
574.82	0.00624846		
575.02	0.00562913		
575.22	0.00655563		
575.42	0.00663475		
575.62	0.00715256		
575.82	0.00760403		
576.02	0.0078166		
576.22	0.00750815		
576.42	0.00799581		
576.62	0.00844215		
576.82	0.00798699		
577.02	0.00801355		
577.22	0.00839515		
577.42	0.00776983		
577.62	0.0084422		
577.82	0.0085686		
578.02	0.00876528		
578.22	0.00834514		
578.42	0.00927273		
578.62	0.00903404		
578.82	0.00910384		
579.02	0.00936976		
579.22	0.00985425		
579.42	0.00931314		
579.62	0.00989816		
579.82	0.00951793		
580.02	0.00920677		
580.22	0.00943364		
580.42	0.00971877		
580.62	0.00956618		
580.82	0.00993422		
581.02	0.0098851		
581.22	0.00994818		
581.42	0.01010534		
581.62	0.01090641		
581.82	0.0102301		
582.02	0.01004563		
582.22	0.01039835		
582.42	0.01084859		
582.62	0.01072095		
582.82	0.01095644		
583.02	0.00968426		
583.22	0.00977816		
583.42	0.00962219		
583.62	0.00937477		
583.82	0.00885039		
584.02	0.0091662		
584.22	0.00852131		
584.42	0.00879377		
584.62	0.00883296		
584.82	0.00918826		
585.02	0.00906524		
585.22	0.00993946		
585.42	0.00982413		
585.62	0.01046962		
585.82	0.01018807		
586.02	0.01022465		
586.22	0.01112642		
586.42	0.01185462		
586.62	0.01116917		
586.82	0.01025606		
587.02	0.00996453		
587.22	0.01023297		
587.42	0.01016819		
587.62	0.01023245		
587.82	0.00979683		
588.02	0.00930894		
588.22	0.00914418		
588.42	0.00955706		
588.62	0.00901677		
588.82	0.00917745		
589.02	0.00921344		
589.22	0.00941042		
589.42	0.00918228		
589.62	0.0097519		
589.82	0.0097018		
590.02	0.00975325		
590.22	0.01065919		
590.42	0.01109618		
590.62	0.01001153		
590.82	0.01012742		
591.02	0.0100329		
591.22	0.00943193		
591.42	0.00929598		
591.62	0.009273		
591.82	0.00848615		
592.02	0.00896603		
592.22	0.00920816		
592.42	0.00864015		
592.62	0.0083677		
592.82	0.00932898		
593.02	0.00930029		
593.22	0.00995535		
593.42	0.01044691		
593.62	0.01015839		
593.82	0.01024373		
594.02	0.01034183		
594.22	0.01049145		
594.42	0.01063698		
594.62	0.01020316		
594.82	0.01009973		
595.02	0.00941204		
595.22	0.00964799		
595.42	0.00945437		
595.62	0.00964976		
595.82	0.00976396		
596.02	0.00944712		
596.22	0.00926835		
596.42	0.00928113		
596.62	0.00926627		
596.82	0.00971237		
597.02	0.00958989		
597.22	0.00986383		
597.42	0.00965112		
597.62	0.00981399		
597.82	0.01009677		
598.02	0.01055258		
598.22	0.01030746		
598.42	0.01076118		
598.62	0.0102035		
598.82	0.01105801		
599.02	0.01061734		
599.22	0.01069142		
599.42	0.01089037		
599.62	0.01058243		
599.82	0.01009708		
600.02	0.00972697		
600.22	0.01061139		
600.42	0.01024296		
600.62	0.00961434		
600.82	0.00973481		
601.02	0.00960023		
601.22	0.00986153		
601.42	0.01041464		
601.62	0.01007591		
601.82	0.00992211		
602.02	0.0097336		
602.22	0.00906804		
602.42	0.00890525		
602.62	0.00914518		
602.82	0.00939463		
603.02	0.00801364		
603.22	0.00805035		
603.42	0.0079198		
603.62	0.00686719		
603.82	0.00704019		
604.02	0.00761979		
604.22	0.00785417		
604.42	0.00732739		
604.62	0.00710644		
604.82	0.00733072		
605.02	0.00792348		
605.22	0.00865633		
605.42	0.0086538		
605.62	0.00863117		
605.82	0.00908372		
606.02	0.00928322		
606.22	0.00912573		
606.42	0.008905		
606.62	0.00873719		
606.82	0.00822535		
607.02	0.00765141		
607.22	0.00709959		
607.42	0.00645557		
607.62	0.00675095		
607.82	0.00743147		
608.02	0.00776621		
608.22	0.00817927		
608.42	0.00911421		
608.62	0.00893402		
608.82	0.00978485		
609.02	0.01040715		
609.22	0.01048641		
609.42	0.01073315		
609.62	0.01147791		
609.82	0.01130439		
610.02	0.0116419		
610.22	0.01087694		
610.42	0.01045584		
610.62	0.01036408		
610.82	0.01048719		
611.02	0.00946417		
611.22	0.00923672		
611.42	0.00999615		
611.62	0.01048365		
611.82	0.0101732		
612.02	0.01004414		
612.22	0.00997176		
612.42	0.01002726		
612.62	0.00968009		
612.82	0.01036964		
613.02	0.01007777		
613.22	0.01044193		
613.42	0.01059211		
613.62	0.01022335		
613.82	0.01017947		
614.02	0.01031052		
614.22	0.01007597		
614.42	0.01029644		
614.62	0.01059895		
614.82	0.01007734		
615.02	0.00965327		
615.22	0.00983481		
615.42	0.00937406		
615.62	0.00889071		
615.82	0.00857789		
616.02	0.00814405		
616.22	0.00829183		
616.42	0.00856175		
616.62	0.00928716		
616.82	0.00935836		
617.02	0.00926201		
617.22	0.00951681		
617.42	0.00947061		
617.62	0.00992737		
617.82	0.01036928		
618.02	0.01074887		
618.22	0.01090333		
618.42	0.01097147		
618.62	0.01059035		
618.82	0.01058503		
619.02	0.01037586		
619.22	0.00944962		
619.42	0.00909104		
619.62	0.00963148		
619.82	0.00880686		
620.02	0.00852063		
620.22	0.00856496		
620.42	0.00846625		
620.62	0.00931856		
620.82	0.0092065		
621.02	0.00914464		
621.22	0.00922957		
621.42	0.00967787		
621.62	0.00951054		
621.82	0.00936291		
622.02	0.00988929		
622.22	0.009175		
622.42	0.00926696		
622.62	0.00930534		
622.82	0.00939269		
623.02	0.00879899		
623.22	0.00904924		
623.42	0.0092958		
623.62	0.00946763		
623.82	0.00835158		
624.02	0.00847715		
624.22	0.00806437		
624.42	0.00836237		
624.62	0.00824911		
624.82	0.00797026		
625.02	0.00848873		
625.22	0.00836091		
625.42	0.00835313		
625.62	0.00771394		
625.82	0.00811944		
626.02	0.00750591		
626.22	0.00757592		
626.42	0.00816855		
626.62	0.00784832		
626.82	0.00814054		
627.02	0.00900581		
627.22	0.00946245		
627.42	0.00895134		
627.62	0.00944785		
627.82	0.00827875		
628.02	0.00864635		
628.22	0.00899413		
628.42	0.00941312		
628.62	0.00891537		
628.82	0.00971855		
629.02	0.01001872		
629.22	0.0094194		
629.42	0.00971382		
629.62	0.00934788		
629.82	0.00906629		
630.02	0.00899865		
630.22	0.00958063		
630.42	0.00932097		
630.62	0.0092566		
630.82	0.01024626		
631.02	0.00963896		
631.22	0.00902801		
631.42	0.00886304		
631.62	0.00905437		
631.82	0.00896421		
632.02	0.00957582		
632.22	0.00975867		
632.42	0.00969345		
632.62	0.00945266		
632.82	0.00978325		
633.02	0.00949828		
633.22	0.01012267		
633.42	0.01036254		
633.62	0.01031222		
633.82	0.00981272		
634.02	0.00970257		
634.22	0.00964684		
634.42	0.00968396		
634.62	0.00953919		
634.82	0.00952215		
635.02	0.0090861		
635.22	0.00904843		
635.42	0.00900881		
635.62	0.00966699		
635.82	0.01028375		
636.02	0.01013711		
636.22	0.01015794		
636.42	0.01063576		
636.62	0.01064371		
636.82	0.01113887		
637.02	0.01122657		
637.22	0.01139025		
637.42	0.01143801		
637.62	0.0116357		
637.82	0.01068112		
638.02	0.0107169		
638.22	0.01107158		
638.42	0.01105962		
638.62	0.01059339		
638.82	0.01072852		
639.02	0.01066665		
639.22	0.01019524		
639.42	0.01084073		
639.62	0.01118395		
639.82	0.01085476		
640.02	0.01083841		
640.22	0.01035769		
640.42	0.01098889		
640.62	0.01103727		
640.82	0.01170786		
641.02	0.01072009		
641.22	0.0102071		
641.42	0.01092902		
641.62	0.01057529		
641.82	0.01030948		
642.02	0.01042823		
642.22	0.01009398		
642.42	0.00926359		
642.62	0.00878029		
642.82	0.00875603		
643.02	0.00837906		
643.22	0.00853397		
643.42	0.00828078		
643.62	0.00797572		
643.82	0.00848357		
644.02	0.0085818		
644.22	0.00809681		
644.42	0.0088552		
644.62	0.00849881		
644.82	0.0083356		
645.02	0.00809296		
645.22	0.00854353		
645.42	0.00921188		
645.62	0.0097595		
645.82	0.01055984		
646.02	0.01023411		
646.22	0.01008424		
646.42	0.00995851		
646.62	0.01006331		
646.82	0.01025326		
647.02	0.01045208		
647.22	0.01085276		
647.42	0.01079842		
647.62	0.01091158		
647.82	0.01060043		
648.02	0.00986025		
648.22	0.00955843		
648.42	0.00946222		
648.62	0.00928677		
648.82	0.01010331		
649.02	0.01052512		
649.22	0.01058239		
649.42	0.01087889		
649.62	0.01144314		
649.82	0.011034		
650.02	0.01077978		
650.22	0.01080231		
650.42	0.01058404		
650.62	0.01074444		
650.82	0.01106193		
651.02	0.01115728		
651.22	0.01117159		
651.42	0.01054049		
651.62	0.00974883		
651.82	0.00980802		
652.02	0.00990293		
652.22	0.00956936		
652.42	0.00948612		
652.62	0.01004236		
652.82	0.00995221		
653.02	0.00939265		
653.22	0.00941643		
653.42	0.00892587		
653.62	0.00896415		
653.82	0.00875124		
654.02	0.00852561		
654.22	0.0088789		
654.42	0.00928692		
654.62	0.00970217		
654.82	0.00985901		
655.02	0.01088149		
655.22	0.01168188		
655.42	0.01142012		
655.62	0.01194486		
655.82	0.01195269		
656.02	0.01202678		
656.22	0.01187383		
656.42	0.01214737		
656.62	0.01166535		
656.82	0.01150758		
657.02	0.01133616		
657.22	0.01102981		
657.42	0.01030069		
657.62	0.01032834		
657.82	0.01005946		
658.02	0.00958803		
658.22	0.01039452		
658.42	0.00967169		
658.62	0.00956713		
658.82	0.01034481		
659.02	0.01043492		
659.22	0.01009467		
659.42	0.01011967		
659.62	0.01017207		
659.82	0.0101739		
660.02	0.01124683		
660.22	0.01116969		
660.42	0.01112007		
660.62	0.0113985		
660.82	0.01214314		
661.02	0.01217587		
661.22	0.01201738		
661.42	0.01162181		
661.62	0.0120646		
661.82	0.01170773		
662.02	0.01129201		
662.22	0.01085873		
662.42	0.01027084		
662.62	0.01053171		
662.82	0.01041652		
663.02	0.00985109		
663.22	0.00989484		
663.42	0.01039487		
663.62	0.00992		
663.82	0.01024039		
664.02	0.01017884		
664.22	0.01005676		
664.42	0.01026797		
664.62	0.01049609		
664.82	0.01034141		
665.02	0.01003388		
665.22	0.0092681		
665.42	0.00914254		
665.62	0.00941302		
665.82	0.00898394		
666.02	0.00942335		
666.22	0.00993814		
