Conc1	3E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	0.0244122055182017	
Error Kobs	0.000543305785284273	
Koff	0.013539325110722	
Error Koff	0.00013834575812609	
Time1	Data1	Fit1	
516.42	0.13987581	0.13121384	
516.62	0.14076875	0.13146728	
516.82	0.14100038	0.1317195	
517.02	0.14087457	0.13197048	
517.22	0.14097131	0.13222024	
517.42	0.14134966	0.13246878	
517.62	0.14113902	0.13271611	
517.82	0.14160979	0.13296224	
518.02	0.1417727	0.13320717	
518.22	0.14217418	0.13345091	
518.42	0.14179951	0.13369346	
518.62	0.14210278	0.13393483	
518.82	0.14247187	0.13417502	
519.02	0.14307267	0.13441404	
519.22	0.14320721	0.1346519	
519.42	0.14361912	0.1348886	
519.62	0.14351372	0.13512415	
519.82	0.14343898	0.13535855	
520.02	0.14367206	0.13559181	
520.22	0.14336593	0.13582393	
520.42	0.14392221	0.13605492	
520.62	0.14407998	0.13628479	
520.82	0.14386605	0.13651353	
521.02	0.14373156	0.13674117	
521.22	0.14377001	0.13696769	
521.42	0.14395548	0.13719311	
521.62	0.14380787	0.13741743	
521.82	0.14397034	0.13764066	
522.02	0.14345287	0.13786281	
522.22	0.14354283	0.13808387	
522.42	0.14378338	0.13830385	
522.62	0.14343853	0.13852277	
522.82	0.1434834	0.13874061	
523.02	0.1441456	0.1389574	
523.22	0.1447023	0.13917313	
523.42	0.14487679	0.13938781	
523.62	0.14500258	0.13960144	
523.82	0.14521373	0.13981403	
524.02	0.14564244	0.14002559	
524.22	0.14607697	0.14023612	
524.42	0.14631194	0.14044562	
524.62	0.14624956	0.1406541	
524.82	0.14637868	0.14086157	
525.02	0.1466751	0.14106802	
525.22	0.14647758	0.14127347	
525.42	0.14640087	0.14147792	
525.62	0.14636448	0.14168138	
525.82	0.14663131	0.14188384	
526.02	0.14696536	0.14208532	
526.22	0.14733558	0.14228581	
526.42	0.14676788	0.14248533	
526.62	0.14645557	0.14268388	
526.82	0.14665832	0.14288146	
527.02	0.14701816	0.14307808	
527.22	0.14669083	0.14327374	
527.42	0.14658513	0.14346844	
527.62	0.14607175	0.1436622	
527.82	0.14598111	0.14385502	
528.02	0.14665792	0.14404689	
528.22	0.14692646	0.14423783	
528.42	0.14687051	0.14442784	
528.62	0.14780572	0.14461693	
528.82	0.14822202	0.1448051	
529.02	0.14885778	0.14499234	
529.22	0.1493569	0.14517868	
529.42	0.14984362	0.14536411	
529.62	0.15048971	0.14554863	
529.82	0.15055782	0.14573226	
530.02	0.15080302	0.14591499	
530.22	0.15071855	0.14609684	
530.42	0.15022179	0.14627779	
530.62	0.15093059	0.14645787	
530.82	0.1501564	0.14663707	
531.02	0.15012814	0.14681539	
531.22	0.14965735	0.14699285	
