Conc1	3E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	1.85483089300123E-05	
Error Kobs	2.44549574264042E-07	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
516.42	0.32846561	0.37245434	
516.62	0.32929472	0.37278879	
516.82	0.33000743	0.37311788	
517.02	0.33099847	0.37344172	
517.22	0.33145491	0.37376037	
517.42	0.33244634	0.37407393	
517.62	0.33364282	0.37438247	
517.82	0.33468179	0.37468607	
518.02	0.33522317	0.37498482	
518.22	0.33477525	0.3752788	
518.42	0.33478404	0.37556807	
518.62	0.33519265	0.37585271	
518.82	0.33548639	0.3761328	
519.02	0.33582693	0.37640841	
519.22	0.33592905	0.37667961	
519.42	0.3361992	0.37694648	
519.62	0.33666491	0.37720907	
519.82	0.33653665	0.37746747	
520.02	0.33668263	0.37772174	
520.22	0.33689479	0.37797193	
520.42	0.33677051	0.37821813	
520.62	0.33662887	0.37846038	
520.82	0.33699218	0.37869877	
521.02	0.33710029	0.37893334	
521.22	0.33738009	0.37916416	
521.42	0.33764196	0.37939128	
521.62	0.33764395	0.37961478	
521.82	0.33782452	0.3798347	
522.02	0.33774559	0.3800511	
522.22	0.33754295	0.38026404	
522.42	0.33826665	0.38047357	
522.62	0.33859143	0.38067975	
522.82	0.33869184	0.38088264	
523.02	0.33877375	0.38108228	
523.22	0.33838938	0.38127873	
523.42	0.33885972	0.38147203	
523.62	0.33891809	0.38166225	
523.82	0.33871023	0.38184942	
524.02	0.338832	0.3820336	
524.22	0.33925727	0.38221483	
524.42	0.33895875	0.38239316	
524.62	0.33920299	0.38256864	
524.82	0.33901853	0.38274131	
525.02	0.3387907	0.38291123	
525.22	0.33934751	0.38307842	
525.42	0.33982884	0.38324294	
525.62	0.34040312	0.38340483	
525.82	0.34115933	0.38356413	
526.02	0.3412827	0.38372088	
526.22	0.34186548	0.38387513	
526.42	0.34206814	0.3840269	
526.62	0.3426171	0.38417626	
526.82	0.3431328	0.38432322	
527.02	0.34362366	0.38446783	
527.22	0.34424478	0.38461012	
527.42	0.3450288	0.38475015	
527.62	0.34442029	0.38488793	
527.82	0.34484592	0.38502351	
528.02	0.34524969	0.38515692	
528.22	0.34515883	0.38528819	
528.42	0.34495251	0.38541737	
528.62	0.34479501	0.38554448	
528.82	0.34387205	0.38566956	
529.02	0.34442596	0.38579264	
529.22	0.34497301	0.38591374	
529.42	0.34537156	0.38603292	
529.62	0.34612753	0.38615018	
529.82	0.34622148	0.38626557	
530.02	0.34600157	0.38637911	
530.22	0.34645196	0.38649084	
530.42	0.34651878	0.38660078	
530.62	0.34718193	0.38670897	
530.82	0.34750341	0.38681542	
531.02	0.34818101	0.38692017	
531.22	0.34825191	0.38702324	
531.42	0.34795727	0.38712467	
531.62	0.34770852	0.38722447	
531.82	0.3484414	0.38732268	
532.02	0.34848625	0.38741931	
532.22	0.34815308	0.38751441	
532.42	0.34791259	0.38760798	
532.62	0.34786733	0.38770005	
532.82	0.34807527	0.38779065	
533.02	0.3484529	0.3878798	
533.22	0.348794	0.38796753	
533.42	0.34942187	0.38805385	
533.62	0.34958391	0.38813879	
533.82	0.348949	0.38822237	
534.02	0.3489229	0.38830462	
534.22	0.34970351	0.38838555	
534.42	0.35014314	0.38846519	
534.62	0.35059018	0.38854355	
534.82	0.35133284	0.38862066	
535.02	0.3517048	0.38869654	
535.22	0.35161268	0.3887712	
535.42	0.35225314	0.38884467	
535.62	0.35261842	0.38891696	
535.82	0.35273916	0.3889881	
536.02	0.35334456	0.3890581	
536.22	0.35348801	0.38912698	
536.42	0.35337829	0.38919475	
536.62	0.35368937	0.38926145	
536.82	0.35355129	0.38932707	
537.02	0.35345439	0.38939165	
537.22	0.35350226	0.3894552	
537.42	0.35374737	0.38951772	
537.62	0.35354197	0.38957925	
537.82	0.35340261	0.3896398	
538.02	0.35358777	0.38969937	
538.22	0.35425683	0.389758	
538.42	0.35413117	0.38981568	
538.62	0.35417154	0.38987244	
538.82	0.3540474	0.3899283	
539.02	0.35433457	0.38998326	
539.22	0.35444386	0.39003734	
539.42	0.35530986	0.39009056	
539.62	0.35497753	0.39014292	
539.82	0.35534997	0.39019445	
540.02	0.35620024	0.39024516	
540.22	0.35621572	0.39029505	
540.42	0.3562937	0.39034415	
540.62	0.356374	0.39039246	
540.82	0.35650211	0.39043999	
541.02	0.35652676	0.39048677	
541.22	0.35659735	0.3905328	
541.42	0.35681462	0.39057809	
541.62	0.35658575	0.39062266	
541.82	0.35642775	0.39066652	
542.02	0.35670093	0.39070967	
542.22	0.35682628	0.39075213	
542.42	0.35717074	0.39079392	
542.62	0.35757003	0.39083503	
542.82	0.35808952	0.39087549	
543.02	0.35910862	0.3909153	
543.22	0.35911464	0.39095448	
543.42	0.35988235	0.39099303	
543.62	0.35958186	0.39103096	
543.82	0.36023163	0.39106828	
544.02	0.36042239	0.39110501	
544.22	0.36039386	0.39114115	
544.42	0.36034524	0.39117672	
544.62	0.36058712	0.39121171	
544.82	0.36092706	0.39124614	
545.02	0.36096614	0.39128003	
545.22	0.36131324	0.39131337	
545.42	0.3616958	0.39134618	
545.62	0.36183136	0.39137846	
545.82	0.36211165	0.39141023	
546.02	0.36271533	0.39144148	
546.22	0.36265698	0.39147224	
546.42	0.36348309	0.39150251	
546.62	0.36329579	0.39153229	
546.82	0.36330979	0.3915616	
547.02	0.36345359	0.39159044	
547.22	0.36281112	0.39161881	
547.42	0.36282175	0.39164674	
547.62	0.36256102	0.39167421	
547.82	0.36304958	0.39170125	
548.02	0.36288928	0.39172785	
548.22	0.36332273	0.39175403	
548.42	0.36343277	0.39177979	
548.62	0.36396865	0.39180514	
548.82	0.36407495	0.39183008	
549.02	0.36458302	0.39185463	
549.22	0.36481969	0.39187878	
549.42	0.36503153	0.39190254	
549.62	0.3651745	0.39192593	
549.82	0.36555267	0.39194894	
550.02	0.36618076	0.39197158	
550.22	0.36625686	0.39199386	
550.42	0.36645816	0.39201578	
550.62	0.36595171	0.39203736	
550.82	0.36574929	0.39205859	
551.02	0.36576579	0.39207947	
551.22	0.36559252	0.39210003	
551.42	0.3659439	0.39212025	
551.62	0.36628185	0.39214016	
551.82	0.36709756	0.39215974	
552.02	0.36687829	0.39217901	
552.22	0.36744806	0.39219797	
552.42	0.36717272	0.39221663	
552.62	0.36712555	0.39223499	
552.82	0.3672302	0.39225306	
553.02	0.36765734	0.39227084	
553.22	0.3675003	0.39228833	
553.42	0.36755801	0.39230555	
553.62	0.36800439	0.39232249	
553.82	0.36850608	0.39233915	
554.02	0.36914941	0.39235556	
554.22	0.36936798	0.3923717	
554.42	0.36904843	0.39238758	
554.62	0.36895051	0.3924032	
554.82	0.36893261	0.39241858	
555.02	0.36925986	0.39243371	
555.22	0.36959121	0.3924486	
555.42	0.36975021	0.39246325	
555.62	0.36996008	0.39247767	
555.82	0.37035531	0.39249185	
556.02	0.37001397	0.39250581	
556.22	0.37022347	0.39251955	
556.42	0.37017886	0.39253306	
556.62	0.36995552	0.39254636	
556.82	0.36998851	0.39255945	
557.02	0.370092	0.39257233	
557.22	0.36965923	0.392585	
557.42	0.36967212	0.39259747	
557.62	0.37023702	0.39260974	
557.82	0.37066435	0.39262181	
558.02	0.3707949	0.39263369	
558.22	0.37095698	0.39264538	
558.42	0.37047161	0.39265689	
