Conc1	1E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	2.61142555764347E-05	
Error Kobs	1.96859826390875E-07	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
516.42	0.24550219	0.24775475	
516.62	0.24559908	0.24839622	
516.82	0.24555738	0.24903295	
517.02	0.24549239	0.24966499	
517.22	0.24598585	0.25029235	
517.42	0.24674475	0.25091509	
517.62	0.24768385	0.25153323	
517.82	0.24828527	0.25214681	
518.02	0.24913911	0.25275587	
518.22	0.24921149	0.25336042	
518.42	0.24930617	0.25396052	
518.62	0.24893533	0.25455618	
518.82	0.24913239	0.25514745	
519.02	0.24887053	0.25573436	
519.22	0.2490199	0.25631693	
519.42	0.24922352	0.2568952	
519.62	0.2494903	0.25746921	
519.82	0.24988298	0.25803898	
520.02	0.24960288	0.25860454	
520.22	0.24976909	0.25916594	
520.42	0.24989516	0.25972318	
520.62	0.2501279	0.26027632	
520.82	0.25005792	0.26082537	
521.02	0.25006699	0.26137037	
521.22	0.2507571	0.26191135	
521.42	0.25164337	0.26244833	
521.62	0.25203817	0.26298135	
521.82	0.2525135	0.26351044	
522.02	0.25336399	0.26403562	
522.22	0.25360227	0.26455693	
522.42	0.25423514	0.26507439	
522.62	0.25409257	0.26558803	
522.82	0.25420418	0.26609788	
523.02	0.25433159	0.26660397	
523.22	0.25462786	0.26710632	
523.42	0.25430124	0.26760496	
523.62	0.25424707	0.26809993	
523.82	0.25419865	0.26859124	
524.02	0.25431749	0.26907892	
524.22	0.25446297	0.26956301	
524.42	0.25467465	0.27004352	
524.62	0.25474834	0.27052049	
524.82	0.25504478	0.27099393	
525.02	0.25568212	0.27146389	
525.22	0.25652584	0.27193037	
525.42	0.25706384	0.27239341	
525.62	0.25717366	0.27285303	
525.82	0.25802358	0.27330926	
526.02	0.25884034	0.27376213	
526.22	0.25950377	0.27421165	
526.42	0.25992778	0.27465785	
526.62	0.25938998	0.27510076	
526.82	0.25895214	0.27554041	
527.02	0.25895426	0.2759768	
527.22	0.25844189	0.27640998	
527.42	0.25807962	0.27683996	
527.62	0.25873731	0.27726676	
527.82	0.2584543	0.27769042	
528.02	0.2582743	0.27811095	
528.22	0.2581969	0.27852837	
528.42	0.2584297	0.27894272	
528.62	0.25901167	0.279354	
528.82	0.25971875	0.27976226	
529.02	0.26049363	0.28016749	
529.22	0.2615746	0.28056974	
529.42	0.26228213	0.28096902	
529.62	0.26283889	0.28136535	
529.82	0.26326384	0.28175876	
530.02	0.26382409	0.28214926	
530.22	0.26452043	0.28253688	
530.42	0.26427394	0.28292164	
530.62	0.26408542	0.28330356	
530.82	0.2641656	0.28368266	
531.02	0.26477048	0.28405897	
531.22	0.26470613	0.2844325	
531.42	0.26449503	0.28480326	
531.62	0.26417144	0.2851713	
531.82	0.26400988	0.28553662	
532.02	0.26424519	0.28589924	
532.22	0.26435861	0.28625918	
532.42	0.2643793	0.28661647	
532.62	0.2648382	0.28697112	
532.82	0.26499164	0.28732315	
533.02	0.26556957	0.28767259	
533.22	0.26596028	0.28801945	
533.42	0.26659773	0.28836374	
533.62	0.26708919	0.2887055	
533.82	0.26700894	0.28904473	
534.02	0.26744746	0.28938146	
534.22	0.26754528	0.28971571	
534.42	0.26730628	0.29004748	
534.62	0.2671013	0.29037681	
534.82	0.26707593	0.29070371	
535.02	0.26742358	0.2910282	
535.22	0.26731308	0.29135029	
535.42	0.26709283	0.29167	
535.62	0.26729232	0.29198735	
535.82	0.26790651	0.29230237	
536.02	0.26744015	0.29261505	
536.22	0.26762654	0.29292543	
536.42	0.26789839	0.29323352	
536.62	0.26800466	0.29353934	
536.82	0.26817269	0.29384289	
537.02	0.26842003	0.29414421	
537.22	0.26820266	0.2944433	
537.42	0.26883065	0.29474019	
537.62	0.26875073	0.29503488	
537.82	0.2687	0.2953274	
538.02	0.26875886	0.29561777	
538.22	0.26907419	0.29590598	
538.42	0.26896024	0.29619207	
538.62	0.26891168	0.29647605	
538.82	0.26950785	0.29675794	
539.02	0.27018978	0.29703774	
539.22	0.27072638	0.29731548	
539.42	0.27101057	0.29759117	
539.62	0.27148043	0.29786482	
539.82	0.27162893	0.29813645	
540.02	0.27187635	0.29840608	
540.22	0.2726354	0.29867372	
540.42	0.27237075	0.29893938	
540.62	0.27200506	0.29920309	
540.82	0.27217695	0.29946484	
541.02	0.27180229	0.29972467	
541.22	0.27173547	0.29998258	
541.42	0.27211948	0.30023858	
541.62	0.27222096	0.3004927	
541.82	0.27242806	0.30074493	
542.02	0.27217665	0.30099531	
542.22	0.27241633	0.30124384	
542.42	0.27266854	0.30149054	
542.62	0.27316771	0.30173541	
542.82	0.2732058	0.30197848	
543.02	0.27326287	0.30221975	
543.22	0.2737311	0.30245924	
543.42	0.27347073	0.30269697	
