Conc1	3.704E-08	
Start1	480.02	
Stop1	5779.82	
Kobs	5.43407746342408E-05	
Error Kobs	2.69312012074895E-07	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
516.62	0.0740454	0.06695573	
516.82	0.07456979	0.06724865	
517.02	0.07485702	0.06754088	
517.22	0.07508542	0.06783244	
517.42	0.07563563	0.06812331	
517.62	0.07647503	0.06841351	
517.82	0.07750577	0.06870303	
518.02	0.07800611	0.06899187	
518.22	0.07825817	0.06928004	
518.42	0.07788639	0.06956754	
518.62	0.0780275	0.06985437	
518.82	0.07829056	0.07014052	
519.02	0.07741815	0.07042602	
519.22	0.0779178	0.07071084	
519.42	0.0784864	0.070995	
519.62	0.07931099	0.0712785	
519.82	0.08002117	0.07156134	
520.02	0.08031041	0.07184352	
520.22	0.08029568	0.07212504	
520.42	0.07963654	0.0724059	
520.62	0.07932243	0.07268611	
520.82	0.07957889	0.07296566	
521.02	0.08000168	0.07324456	
521.22	0.08002444	0.07352282	
521.42	0.08065319	0.07380042	
521.62	0.08137239	0.07407737	
521.82	0.0812889	0.07435368	
522.02	0.08063647	0.07462935	
522.22	0.0803375	0.07490437	
522.42	0.08011909	0.07517875	
522.62	0.07988421	0.0754525	
522.82	0.080165	0.0757256	
523.02	0.08093297	0.07599806	
523.22	0.0813819	0.0762699	
523.42	0.0815	0.07654109	
523.62	0.08211884	0.07681166	
523.82	0.08230647	0.07708159	
524.02	0.08259278	0.07735089	
524.22	0.08284824	0.07761957	
524.42	0.08296713	0.07788762	
524.62	0.08325923	0.07815504	
524.82	0.08412094	0.07842184	
525.02	0.08511093	0.07868802	
525.22	0.08482366	0.07895358	
525.42	0.08548301	0.07921851	
525.62	0.08539633	0.07948283	
525.82	0.08513245	0.07974654	
526.02	0.08467391	0.08000963	
526.22	0.08523432	0.0802721	
526.42	0.08510794	0.08053396	
526.62	0.08591765	0.08079522	
526.82	0.0859082	0.08105586	
527.02	0.08562997	0.08131589	
527.22	0.08526076	0.08157532	
527.42	0.08533968	0.08183415	
527.62	0.08526486	0.08209237	
527.82	0.08522113	0.08234998	
528.02	0.08557893	0.082607	
528.22	0.08526678	0.08286342	
528.42	0.08549968	0.08311924	
528.62	0.08612814	0.08337446	
528.82	0.08588856	0.08362909	
529.02	0.08558188	0.08388312	
529.22	0.08542327	0.08413656	
529.42	0.08568165	0.08438941	
529.62	0.08599556	0.08464167	
529.82	0.08637957	0.08489334	
530.02	0.08663168	0.08514443	
530.22	0.08742649	0.08539493	
530.42	0.0879088	0.08564485	
530.62	0.08868611	0.08589418	
530.82	0.08770281	0.08614293	
531.02	0.08814683	0.0863911	
531.22	0.08870237	0.08663869	
531.42	0.08896846	0.08688571	
531.62	0.08961579	0.08713215	
531.82	0.09053983	0.08737801	
532.02	0.09056781	0.0876233	
532.22	0.09064834	0.08786802	
532.42	0.09063301	0.08811217	
532.62	0.09068388	0.08835575	
532.82	0.08976564	0.08859876	
533.02	0.09024339	0.0888412	
533.22	0.09082919	0.08908308	
533.42	0.09067437	0.08932439	
533.62	0.09071163	0.08956514	
533.82	0.09035596	0.08980533	
534.02	0.0900509	0.09004496	
534.22	0.0902508	0.09028403	
534.42	0.09065738	0.09052255	
534.62	0.09080581	0.0907605	
534.82	0.09094141	0.09099791	
535.02	0.09104127	0.09123475	
535.22	0.09156188	0.09147105	
535.42	0.09257954	0.0917068	
535.62	0.09355464	0.09194199	
535.82	0.09385864	0.09217664	
536.02	0.09417502	0.09241074	
536.22	0.09467169	0.09264429	
536.42	0.0949305	0.0928773	
536.62	0.09591408	0.09310976	
536.82	0.0960925	0.09334169	
537.02	0.09705667	0.09357307	
537.22	0.09721121	0.09380391	
537.42	0.0972579	0.09403422	
537.62	0.09712421	0.09426398	
537.82	0.09755743	0.09449322	
538.02	0.09734195	0.09472191	
538.22	0.09749078	0.09495008	
538.42	0.09740298	0.09517771	
538.62	0.0973858	0.09540481	
538.82	0.09715601	0.09563138	
539.02	0.09667434	0.09585742	
539.22	0.09754245	0.09608294	
539.42	0.09778544	0.09630793	
539.62	0.09721264	0.09653239	
539.82	0.09710874	0.09675633	
540.02	0.09722648	0.09697975	
540.22	0.09702675	0.09720265	
540.42	0.09698948	0.09742503	
540.62	0.0971261	0.09764689	
540.82	0.09657331	0.09786823	
541.02	0.09695021	0.09808905	
541.22	0.09677856	0.09830936	
541.42	0.09685414	0.09852916	
541.62	0.09706597	0.09874844	
541.82	0.09729869	0.09896722	
542.02	0.09708886	0.09918548	
542.22	0.09693238	0.09940323	
542.42	0.0974167	0.09962048	
542.62	0.09785431	0.09983722	
542.82	0.09880291	0.10005345	
543.02	0.09923254	0.10026918	
543.22	0.09975342	0.10048441	
543.42	0.09986915	0.10069913	
543.62	0.10004686	0.10091336	
543.82	0.10084342	0.10112708	
544.02	0.1008429	0.10134031	
544.22	0.10083929	0.10155303	
544.42	0.10081012	0.10176527	
544.62	0.10149128	0.101977	
544.82	0.10130389	0.10218825	
545.02	0.1013317	0.102399	
545.22	0.10089674	0.10260926	
545.42	0.10137894	0.10281903	
545.62	0.10118504	0.1030283	
545.82	0.10058743	0.1032371	
546.02	0.10050375	0.1034454	
546.22	0.10041135	0.10365322	
546.42	0.10051986	0.10386055	
546.62	0.10085507	0.1040674	
546.82	0.10110751	0.10427377	
547.02	0.10140033	0.10447966	
547.22	0.10183106	0.10468507	
547.42	0.10255397	0.10488999	
547.62	0.10308653	0.10509444	
547.82	0.103553	0.10529842	
548.02	0.10315052	0.10550191	
548.22	0.10374037	0.10570494	
548.42	0.1043993	0.10590749	
548.62	0.10495461	0.10610956	
548.82	0.10418527	0.10631117	
549.02	0.10461728	0.1065123	
549.22	0.10524198	0.10671297	
549.42	0.10544562	0.10691317	
549.62	0.1044421	0.1071129	
549.82	0.10478176	0.10731217	
550.02	0.10497327	0.10751097	
550.22	0.10521459	0.1077093	
550.42	0.10557035	0.10790718	
550.62	0.10601793	0.10810459	
550.82	0.10561152	0.10830154	
551.02	0.10579542	0.10849804	
551.22	0.10580822	0.10869407	
551.42	0.10630732	0.10888965	
551.62	0.1064527	0.10908477	
551.82	0.10653841	0.10927944	
552.02	0.1062107	0.10947365	
552.22	0.10740689	0.10966741	
552.42	0.10753462	0.10986072	
552.62	0.1075011	0.11005358	
552.82	0.1073804	0.11024598	
553.02	0.10879778	0.11043794	
553.22	0.10878895	0.11062945	
553.42	0.1085898	0.11082052	
553.62	0.10880824	0.11101114	
553.82	0.10946625	0.11120131	
554.02	0.10976078	0.11139104	
554.22	0.10992282	0.11158033	
554.42	0.10988924	0.11176918	
554.62	0.10976339	0.11195758	
554.82	0.1097902	0.11214555	
555.02	0.10958329	0.11233308	
555.22	0.11000158	0.11252017	
555.42	0.11073834	0.11270683	
555.62	0.11114504	0.11289305	
555.82	0.11143775	0.11307883	
556.02	0.1118023	0.11326418	
556.22	0.11247685	0.1134491	
556.42	0.11199932	0.11363359	
556.62	0.11231156	0.11381765	
556.82	0.11258765	0.11400128	
557.02	0.11373412	0.11418448	
557.22	0.11374583	0.11436725	
557.42	0.11418894	0.1145496	
557.62	0.11427387	0.11473152	
557.82	0.11440188	0.11491302	
558.02	0.11413916	0.11509409	
558.22	0.11355113	0.11527475	
558.42	0.1136586	0.11545498	
558.62	0.11393007	0.11563479	
558.82	0.11339287	0.11581418	
559.02	0.11347806	0.11599315	
559.22	0.11386524	0.11617171	
559.42	0.11406252	0.11634985	
559.62	0.11360399	0.11652757	
559.82	0.11344774	0.11670488	
560.02	0.11335289	0.11688177	
560.22	0.11310579	0.11705826	
560.42	0.11348793	0.11723433	
560.62	0.11444047	0.11740999	
560.82	0.11495397	0.11758524	
561.02	0.11597791	0.11776008	
561.22	0.1158409	0.11793452	
561.42	0.11576371	0.11810854	
561.62	0.11593474	0.11828217	
561.82	0.11575056	0.11845538	
562.02	0.11552096	0.1186282	
562.22	0.11525105	0.11880061	
562.42	0.11532752	0.11897261	
562.62	0.11490037	0.11914422	
562.82	0.11515488	0.11931543	
563.02	0.11594833	0.11948623	
563.22	0.11539394	0.11965664	
563.42	0.11535778	0.11982666	
563.62	0.11541488	0.11999627	
563.82	0.11617976	0.12016549	
564.02	0.11628675	0.12033431	
564.22	0.11696869	0.12050275	
564.42	0.11730963	0.12067078	
564.62	0.11758049	0.12083843	
564.82	0.11765797	0.12100569	
565.02	0.11798332	0.12117255	
565.22	0.11798379	0.12133903	
565.42	0.11827355	0.12150511	
565.62	0.11776644	0.12167082	
565.82	0.11771277	0.12183613	
566.02	0.11781217	0.12200106	
566.22	0.11760571	0.1221656	
566.42	0.11750277	0.12232976	
566.62	0.1177659	0.12249354	
566.82	0.11845727	0.12265693	
567.02	0.11828809	0.12281995	
567.22	0.11788406	0.12298258	
567.42	0.1184295	0.12314484	
567.62	0.11857159	0.12330671	
567.82	0.11891178	0.12346821	
568.02	0.1186575	0.12362934	
568.22	0.11926796	0.12379008	
568.42	0.11960789	0.12395045	
568.62	0.12063146	0.12411045	
568.82	0.12066237	0.12427008	
569.02	0.12092894	0.12442933	
569.22	0.12157542	0.12458821	
569.42	0.12092956	0.12474672	
569.62	0.12066032	0.12490486	
569.82	0.12148076	0.12506263	
570.02	0.12138855	0.12522004	
570.22	0.12141551	0.12537707	
570.42	0.12154642	0.12553374	
570.62	0.12184871	0.12569005	
570.82	0.12156535	0.12584599	
571.02	0.12130726	0.12600156	
571.22	0.1209652	0.12615678	
571.42	0.12095782	0.12631163	
571.62	0.12093863	0.12646612	
571.82	0.12097102	0.12662025	
572.02	0.12141922	0.12677402	
572.22	0.12270784	0.12692744	
572.42	0.12330922	0.12708049	
572.62	0.12341854	0.12723319	
572.82	0.12359328	0.12738553	
573.02	0.12425221	0.12753752	
573.22	0.12477059	0.12768915	
573.42	0.12436621	0.12784043	
573.62	0.12500607	0.12799135	
573.82	0.12535208	0.12814193	
574.02	0.12553504	0.12829215	
574.22	0.1259265	0.12844202	
574.42	0.1259421	0.12859154	
574.62	0.12572848	0.12874072	
574.82	0.12557718	0.12888954	
575.02	0.12563599	0.12903802	
575.22	0.125372	0.12918615	
575.42	0.12551326	0.12933394	
575.62	0.12549223	0.12948138	
575.82	0.125673	0.12962848	
576.02	0.12597896	0.12977524	
576.22	0.12637838	0.12992165	
576.42	0.1261096	0.13006772	
576.62	0.12632828	0.13021345	
576.82	0.12630063	0.13035885	
577.02	0.12604613	0.1305039	
577.22	0.12558062	0.13064861	
577.42	0.12534291	0.13079299	
577.62	0.12535462	0.13093703	
577.82	0.12547231	0.13108073	
578.02	0.12568845	0.1312241	
578.22	0.12497804	0.13136713	
578.42	0.12454033	0.13150984	
578.62	0.12472766	0.1316522	
578.82	0.12455425	0.13179424	
579.02	0.12471189	0.13193594	
579.22	0.12472204	0.13207732	
579.42	0.12509667	0.13221836	
579.62	0.12520389	0.13235908	
579.82	0.12569118	0.13249946	
580.02	0.12571845	0.13263952	
580.22	0.12577013	0.13277926	
580.42	0.12637603	0.13291867	
580.62	0.12683961	0.13305775	
