Conc1	3.333E-07	
Start1	480.02	
Stop1	5779.82	
Kobs	1.6701833642111E-05	
Error Kobs	1.91434835286476E-07	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
516.42	0.18741433	0.15862128	
516.62	0.18806451	0.15921637	
516.82	0.18876936	0.15980912	
517.02	0.18898487	0.16039954	
517.22	0.19002521	0.16098765	
517.42	0.19083565	0.16157344	
517.62	0.19156874	0.16215693	
517.82	0.19138068	0.16273813	
518.02	0.19103022	0.16331704	
518.22	0.191224	0.16389368	
518.42	0.1912809	0.16446805	
518.62	0.19133994	0.16504017	
518.82	0.1912795	0.16561004	
519.02	0.19191858	0.16617767	
519.22	0.19233014	0.16674307	
519.42	0.19269637	0.16730624	
519.62	0.1929336	0.16786721	
519.82	0.19352522	0.16842597	
520.02	0.19392465	0.16898253	
520.22	0.1940004	0.16953691	
520.42	0.19447624	0.17008911	
520.62	0.19507512	0.17063914	
520.82	0.19542223	0.171187	
521.02	0.19537979	0.17173272	
521.22	0.19612258	0.17227629	
521.42	0.19638643	0.17281772	
521.62	0.19607268	0.17335703	
521.82	0.19591753	0.17389422	
522.02	0.19633842	0.1744293	
522.22	0.19727155	0.17496227	
522.42	0.19759313	0.17549315	
522.62	0.19786317	0.17602194	
522.82	0.19834546	0.17654866	
523.02	0.19877752	0.17707331	
523.22	0.19913721	0.17759589	
523.42	0.19981661	0.17811642	
523.62	0.20049013	0.17863491	
523.82	0.20155072	0.17915136	
524.02	0.20121492	0.17966578	
524.22	0.20130994	0.18017818	
524.42	0.20183873	0.18068856	
524.62	0.20215907	0.18119694	
524.82	0.20213337	0.18170332	
525.02	0.20252049	0.18220771	
525.22	0.20289107	0.18271012	
525.42	0.20288146	0.18321056	
525.62	0.20308072	0.18370903	
525.82	0.20317066	0.18420554	
526.02	0.20350128	0.1847001	
526.22	0.20335089	0.18519271	
526.42	0.20331237	0.18568339	
526.62	0.20322336	0.18617215	
526.82	0.20274264	0.18665898	
527.02	0.20227765	0.1871439	
527.22	0.20266252	0.18762691	
527.42	0.203251	0.18810803	
527.62	0.2030615	0.18858725	
527.82	0.20300604	0.18906459	
528.02	0.2025498	0.18954006	
528.22	0.20344613	0.19001366	
528.42	0.20357939	0.19048539	
528.62	0.20385035	0.19095528	
528.82	0.20415197	0.19142331	
529.02	0.20465731	0.19188951	
529.22	0.20517265	0.19235388	
529.42	0.20552125	0.19281642	
529.62	0.20600089	0.19327714	
529.82	0.20653007	0.19373605	
530.02	0.20683188	0.19419316	
530.22	0.20673795	0.19464848	
530.42	0.20698578	0.195102	
530.62	0.20677945	0.19555375	
530.82	0.20688008	0.19600371	
531.02	0.20721336	0.19645191	
531.22	0.20770465	0.19689835	
531.42	0.20809954	0.19734303	
531.62	0.20852661	0.19778597	
531.82	0.20899886	0.19822717	
532.02	0.20915858	0.19866663	
532.22	0.20954324	0.19910437	
532.42	0.20948834	0.19954038	
532.62	0.20979401	0.19997468	
532.82	0.21016747	0.20040728	
533.02	0.21022804	0.20083817	
533.22	0.21076589	0.20126738	
533.42	0.21055543	0.20169489	
533.62	0.21085163	0.20212073	
533.82	0.21120367	0.20254489	
534.02	0.21106042	0.20296739	
534.22	0.21112943	0.20338823	
534.42	0.21113859	0.20380741	
534.62	0.21113185	0.20422494	
534.82	0.21133199	0.20464084	
535.02	0.21064455	0.2050551	
535.22	0.21122296	0.20546773	
535.42	0.21139376	0.20587874	
535.62	0.21196456	0.20628814	
535.82	0.21204139	0.20669593	
536.02	0.21273634	0.20710211	
536.22	0.21327344	0.2075067	
536.42	0.21397549	0.2079097	
536.62	0.2143747	0.20831111	
536.82	0.21461862	0.20871095	
537.02	0.21508018	0.20910922	
537.22	0.21600014	0.20950592	
537.42	0.21636692	0.20990107	
537.62	0.21662479	0.21029466	
537.82	0.21706323	0.2106867	
538.02	0.21739353	0.2110772	
538.22	0.21722307	0.21146617	
538.42	0.2169729	0.21185361	
538.62	0.21686913	0.21223953	
538.82	0.21662442	0.21262393	
539.02	0.21638397	0.21300683	
539.22	0.21706917	0.21338821	
539.42	0.21701725	0.2137681	
539.62	0.21758459	0.2141465	
539.82	0.21798556	0.2145234	
540.02	0.21833376	0.21489883	
540.22	0.218144	0.21527278	
540.42	0.21796983	0.21564527	
540.62	0.21774488	0.21601629	
540.82	0.21774904	0.21638585	
541.02	0.21865716	0.21675396	
541.22	0.21967676	0.21712062	
541.42	0.22004064	0.21748584	
541.62	0.22002606	0.21784963	
541.82	0.21994671	0.21821199	
542.02	0.21991505	0.21857292	
542.22	0.220155	0.21893244	
542.42	0.21998114	0.21929054	
542.62	0.22004099	0.21964723	
542.82	0.21991788	0.22000253	
543.02	0.22043353	0.22035643	
543.22	0.22101911	0.22070893	
543.42	0.2212417	0.22106005	
543.62	0.22176898	0.2214098	
543.82	0.22196	0.22175816	
544.02	0.22184448	0.22210516	
544.22	0.22206494	0.2224508	
544.42	0.22211595	0.22279508	
544.62	0.22248174	0.223138	
544.82	0.22288634	0.22347958	
545.02	0.22346345	0.22381981	
545.22	0.22393045	0.22415871	
545.42	0.22372249	0.22449628	
545.62	0.22323615	0.22483252	
545.82	0.22323923	0.22516744	
546.02	0.22365388	0.22550104	
546.22	0.22396511	0.22583333	
546.42	0.22360168	0.22616432	
546.62	0.22370968	0.226494	
546.82	0.22376273	0.22682239	
547.02	0.2242168	0.22714949	
547.22	0.22451579	0.22747531	
547.42	0.22450872	0.22779984	
547.62	0.22465713	0.2281231	
547.82	0.22447649	0.22844509	
548.02	0.22477487	0.22876581	
548.22	0.22504657	0.22908527	
548.42	0.22503596	0.22940348	
548.62	0.2255311	0.22972044	
