	Sensor	Step Name	Step Type	Time (sec)	Binding (nm)	subtracted
16462	H1	Baseline	BASELINE	40.997	0.0133707775	-0.0005746394992002025
16463	H1	Baseline	BASELINE	41.496002	0.017705563	0.0002669995054475293
16464	H1	Baseline	BASELINE	41.995003	0.018431235	-0.0039373873397835265
16465	H1	Baseline	BASELINE	42.494	0.014549413	-0.004066173419369079
16466	H1	Baseline	BASELINE	42.993	0.025310118	0.007663505651044034
16467	H1	Baseline	BASELINE	43.492	0.016676491	-0.002717434860778667
16468	H1	Baseline	BASELINE	43.992	0.019211255	0.0003393837585917935
16469	H1	Baseline	BASELINE	44.491	0.020161886	0.00010129114239134642
16470	H1	Baseline	BASELINE	44.99	0.009206425	-0.01030504094810567
16471	H1	Baseline	BASELINE	45.489	0.021748574	0.0023869951590768323
16472	H1	Baseline	BASELINE	45.989	0.016999183	-0.003710491083575107
16473	H1	Baseline	BASELINE	46.503	0.013193714	-0.0063042291104920874
16474	H1	Baseline	BASELINE	47.002	0.022136793	0.004752979181694173
16475	H1	Baseline	BASELINE	47.502	0.018696956	-0.002615583561373569
16476	H1	Baseline	BASELINE	48.001	0.019179884	0.0002248273566237912
16477	H1	Baseline	BASELINE	48.5	0.02309654	-0.0005506812259682193
16478	H1	Baseline	BASELINE	48.999	0.015916307	-0.004519385717821933
16479	H1	Baseline	BASELINE	49.498	0.022682978	0.0034217820837966428
16480	H1	Baseline	BASELINE	49.998	0.015118469	-0.005620615057659961
16481	H1	Baseline	BASELINE	50.497	0.015537297	-0.004440104089690066
16482	H1	Baseline	BASELINE	50.996002	0.025630873	0.0055349902585021486
16483	H1	Baseline	BASELINE	51.495003	0.013803222	-0.005928958266986228
16484	H1	Baseline	BASELINE	51.994003	0.023014061	0.0024440256282559857
16485	H1	Baseline	BASELINE	52.494003	0.024109542	7.811797408976409e-05
16486	H1	Baseline	BASELINE	52.993	0.016435482	-0.004999286927295543
16487	H1	Baseline	BASELINE	53.492	0.022795863	0.00034978476910509917
16488	H1	Baseline	BASELINE	53.991	0.015070808	-0.005816530868423797
16489	H1	Baseline	BASELINE	54.489998	0.017749606	-0.003985790036631442
16490	H1	Baseline	BASELINE	55.005	0.022605037	0.0002490640953055844
16491	H1	Baseline	BASELINE	55.489	0.015580605	-0.00661516232789836
16492	H1	Baseline	BASELINE	56.003998	0.022034833	-0.001019216574741222
16493	H1	Baseline	BASELINE	56.503	0.017560102	-0.005447172991944171
16494	H1	Baseline	BASELINE	57.002	0.01745447	-0.004668434582663394
16495	H1	Baseline	BASELINE	57.501	0.0249559	0.0027764574959746823
16496	H1	Baseline	BASELINE	58.0	0.016029019	-0.0059024649337061415
16497	H1	Baseline	BASELINE	58.5	0.024238864	0.0032104333266488537
16498	H1	Baseline	BASELINE	58.999	0.019589385	-0.005966696389032222
16499	H1	Baseline	BASELINE	59.498	0.01733646	-0.006926359109593249
16500	H1	Baseline	BASELINE	59.997	0.021354435	-0.0020395344719418063
16501	H1	Baseline	BASELINE	60.496002	0.014755289	-0.009056806996477462
16502	H1	Baseline	BASELINE	60.996002	0.02439583	0.0012230133041612134
16503	H1	Baseline	BASELINE	61.495003	0.01935407	-0.004945376388741351
16504	H1	Baseline	BASELINE	61.994003	0.017922305	-0.004441037274909831
16505	H1	Baseline	BASELINE	62.493	0.026330844	0.004386734716581487
16506	H1	Baseline	BASELINE	62.992	0.020607611	-0.003912260256720401
16507	H1	Baseline	BASELINE	63.492	0.016503127	-0.007864830516291476
16508	H1	Baseline	BASELINE	63.991	0.02412607	0.0024234750643245206
16509	H1	Baseline	BASELINE	64.490005	0.017258473	-0.0052193267867096434
16510	H1	Baseline	BASELINE	65.005005	0.01955551	-0.0024519520476587787
16511	H1	Baseline	BASELINE	65.488	0.025273522	-0.0010789646431931033
16512	H1	Baseline	BASELINE	65.988	0.020704607	-0.0010396982208021655
16513	H1	Baseline	BASELINE	66.502	0.021754296	-0.0021306923255451694
16514	H1	Baseline	BASELINE	67.001	0.026266811	-0.0015072854831942096
16515	H1	Baseline	BASELINE	67.501	0.01917264	-0.004593558110309459
16516	H1	Baseline	BASELINE	68.0	0.021757426	-0.001641060657811977
16517	H1	Baseline	BASELINE	68.499	0.020243775	-0.004205703236175395
16518	H1	Baseline	BASELINE	68.998	0.021391582	-0.0038761398419865146
16519	H1	Baseline	BASELINE	69.497	0.026667014	0.00041484882681288573
16520	H1	Baseline	BASELINE	69.997	0.0154023245	-0.008373697720480777
16521	H1	Baseline	BASELINE	70.496	0.027931804	0.0035916925743094907
16522	H1	Baseline	BASELINE	70.994995	0.022134708	4.308348147787902e-05
16523	H1	Baseline	BASELINE	71.494	0.018203352	-0.007514832042170383
16524	H1	Baseline	BASELINE	71.993	0.029647674	0.004025800652789258
16525	H1	Baseline	BASELINE	72.493	0.019537458	-0.005813860766602374
16526	H1	Baseline	BASELINE	72.992004	0.020410605	-0.001941455028963901
16527	H1	Baseline	BASELINE	73.491	0.02292	-0.003935794778180934
16528	H1	Baseline	BASELINE	73.990005	0.01630533	-0.00826569037885747
16529	H1	Baseline	BASELINE	74.505005	0.0241929	0.0017308672293893323
16530	H1	Baseline	BASELINE	74.989	0.023580657	-0.0008560600355394855
16531	H1	Baseline	BASELINE	75.503006	0.019142287	-0.004261385150266505
16532	H1	Baseline	BASELINE	76.003006	0.023977019	-0.0007836161777504459
16533	H1	Baseline	BASELINE	76.502	0.020899808	-0.005776056520653583
16534	H1	Baseline	BASELINE	77.001	0.020584408	-0.005048086367560245
16535	H1	Baseline	BASELINE	77.5	0.02719513	0.0027492870911828503
16536	H1	Baseline	BASELINE	77.999	0.019955589	-0.003998554743839122
16537	H1	Baseline	BASELINE	78.499	0.025746442	0.00017155570535578582
16538	H1	Baseline	BASELINE	78.998	0.026748553	-0.0006843185648449436
16539	H1	Baseline	BASELINE	79.497	0.017989116	-0.005499166868639804
16540	H1	Baseline	BASELINE	79.996	0.028421594	0.004464811213301801
16541	H1	Baseline	BASELINE	80.494995	0.01972541	-0.003977717332554675
16542	H1	Baseline	BASELINE	80.994995	0.021625206	-0.005468438811612941
16543	H1	Baseline	BASELINE	81.494	0.02438104	-0.003445760779095508
16544	H1	Baseline	BASELINE	81.993	0.021095658	-0.005027252681566096
16545	H1	Baseline	BASELINE	82.492004	0.027779741	0.005696449927972936
16546	H1	Baseline	BASELINE	82.992004	0.024905642	-0.001864741988492824
16547	H1	Baseline	BASELINE	83.491	0.019243613	-0.0071324421689041625
16548	H1	Baseline	BASELINE	83.990005	0.030748509	0.005414812393473767
16549	H1	Baseline	BASELINE	84.489	0.019942706	-0.005610649906111575
16550	H1	Baseline	BASELINE	84.988	0.020672403	-0.004904807977391101
16551	H1	Baseline	BASELINE	85.503006	0.025967197	0.000767512746142529
16552	H1	Baseline	BASELINE	86.002	0.01889552	-0.006744326524449206
16553	H1	Baseline	BASELINE	86.501	0.025094809	-0.0019309962764509692
16554	H1	Baseline	BASELINE	87.0	0.024808532	-0.0010200286880262866
16555	H1	Baseline	BASELINE	87.5	0.02487237	-0.0012751384303101077
16556	H1	Baseline	BASELINE	87.999	0.02615375	0.00045249847321429107
16557	H1	Baseline	BASELINE	88.498	0.023283742	-0.0029850876554974094
16558	H1	Baseline	BASELINE	88.997	0.024404086	-0.0022128685042389407
16559	H1	Baseline	BASELINE	89.497	0.024790136	-0.000739074744296886
16560	H1	Baseline	BASELINE	89.996	0.0203766	-0.008203433327389575
16561	H1	Baseline	BASELINE	90.494995	0.027731888	0.0005852287039033398
16562	H1	Baseline	BASELINE	90.994	0.020735262	-0.006975069142890788
16563	H1	Baseline	BASELINE	91.493	0.02265764	-0.005264104776097156
16564	H1	Baseline	BASELINE	91.993	0.030945558	0.0009966218247882352
16565	H1	Baseline	BASELINE	92.492004	0.022578226	-0.004608381040407039
16566	H1	Baseline	BASELINE	92.991	0.023344206	-0.0054665240123995314
16567	H1	Baseline	BASELINE	93.490005	0.023487445	-0.004019675277186252
16568	H1	Baseline	BASELINE	94.005	0.020451017	-0.0053859888240822325
16569	H1	Baseline	BASELINE	94.488	0.024503127	-0.0033778412863739505
16570	H1	Baseline	BASELINE	95.003	0.02201053	-0.005766860641551829
16571	H1	Baseline	BASELINE	95.502	0.02659742	0.001202976830290936
16572	H1	Baseline	BASELINE	96.002	0.025098743	-0.0011412514969833865
16573	H1	Baseline	BASELINE	96.501	0.020941332	-0.007653610281658984
16574	H1	Baseline	BASELINE	97.0	0.027501773	0.0007630274966231808
16575	H1	Baseline	BASELINE	97.499	0.023607342	-0.004853412009788371
16576	H1	Baseline	BASELINE	97.998	0.022366803	-0.006051780156803943
16577	H1	Baseline	BASELINE	98.498	0.031852327	0.0046466649845115175
16578	H1	Baseline	BASELINE	98.997	0.020577904	-0.005100151024771548
16579	H1	Baseline	BASELINE	99.496	0.025220972	-0.0014293952509888187
